customer_id,customer_email,customer_name,segment,country,city,state,postal_code,region
AB-10060,dmouse@outlook.com,Adam Bellavance,Home Office,United States,New York City,New York,10009,East
AG-10495,dinther@outlook.com,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East
AG-10765,evans@me.com,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120,East
AJ-10960,stern@verizon.net,Astrea Jones,Consumer,United States,Rochester,New York,14609,East
AR-10405,dbindel@gmail.com,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East
AS-10135,bancboy@icloud.com,Adrian Shami,Home Office,United States,New York City,New York,10035,East
AS-10225,msroth@me.com,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East
BK-11260,specprog@icloud.com,Berenike Kampe,Consumer,United States,New York City,New York,10035,East
BM-11650,atmarks@live.com,Brian Moss,Corporate,United States,New York City,New York,10035,East
BM-11785,mastinfo@msn.com,Bryan Mills,Consumer,United States,Columbus,Ohio,43229,East
CA-12310,specprog@icloud.com,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East
CB-12025,shaffei@sbcglobal.net,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East
CK-12205,cremonini@me.com,Chloris Kastensmidt,Consumer,United States,Philadelphia,Pennsylvania,19120,East
CK-12595,horrocks@verizon.net,Clytie Kelty,Consumer,United States,Grove City,Ohio,43123,East
CP-12340,cremonini@me.com,Christine Phan,Corporate,United States,New York City,New York,10009,East
CR-12625,mstrout@me.com,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East
CR-12730,stern@verizon.net,Craig Reiter,Consumer,United States,Columbus,Ohio,43229,East
CV-12805,parrt@aol.com,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East
DB-13210,atmarks@live.com,Dean Braden,Consumer,United States,Philadelphia,Pennsylvania,19140,East
DJ-13630,cvrcek@me.com,Doug Jacobs,Consumer,United States,New York City,New York,10024,East
DL-12865,leviathan@comcast.net,Dan Lawera,Consumer,United States,Cincinnati,Ohio,45231,East
DL-13315,specprog@icloud.com,Delfina Latchford,Consumer,United States,New York City,New York,10024,East
DP-13165,dmouse@outlook.com,David Philippe,Consumer,United States,New York City,New York,10035,East
DW-13585,msroth@me.com,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East
Dl-13600,wildfire@yahoo.com,Dorris liebe,Corporate,United States,Cleveland,Ohio,44105,East
EB-13705,dawnsong@hotmail.com,Ed Braxton,Corporate,United States,New York City,New York,10024,East
EG-13900,msroth@me.com,Emily Grady,Consumer,United States,Oceanside,New York,11572,East
EL-13735,payned@att.net,Ed Ludwig,Home Office,United States,Columbia,Maryland,21044,East
EM-13960,bsikdar@msn.com,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East
EM-14065,gordonjcp@comcast.net,Erin Mull,Consumer,United States,New York City,New York,10024,East
FH-14365,mhouston@optonline.net,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East
GB-14530,geekgrl@comcast.net,George Bell,Corporate,United States,Auburn,New York,13021,East
GD-14590,specprog@icloud.com,Giulietta Dortch,Corporate,United States,Philadelphia,Pennsylvania,19143,East
GP-14740,unreal@live.com,Guy Phonely,Corporate,United States,Lancaster,Pennsylvania,17602,East
HM-14980,msroth@me.com,Henry MacAllister,Consumer,United States,New York City,New York,10009,East
JB-15925,world@att.net,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East
JD-15895,evans@me.com,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109,East
JE-15475,specprog@icloud.com,Jeremy Ellison,Consumer,United States,Troy,New York,12180,East
